Date,Barcelona,London,Paris,Berlin,Rome,Madrid,Moscow,Istanbul,Kiev,Vienna,Hamburg,Munich,Naples,Athens,Warsaw,Bucharest,Budapest,Sofia,Brussels,Amsterdam,Prague,Birmingham,Stockholm,Minsk,Oslo,Copenhagen,Helsinki,Dublin,Lyon,Marseille,Lille,Geneva,Zurich,Milan,Florence,Nice,Lisbon,Edinburgh,Porto,Glasgow,Reykjavik,Belgrade,Krakow,Seville,Turin,The Hague
2022-03-10,173678.599726814,118972.38189564271,451717.2528716348,421804.19131038943,81629.9090182201,39031.852772570244,131567.1814636213,152606.5128115552,277647.78412661393,344603.3804258094,578777.7278321504,84878.18424761987,450438.8718446358,84203.61605715778,104071.39928462196,370193.17407793924,544315.9139878,158085.34799000906,97698.98080194677,582778.3455445543,307295.0209024874,29338.163370900835,448465.30298902857,511083.50425536884,421289.0217201182,551388.9803530198,149290.27632224845,102785.8704486258,500266.4046789966,541220.5110063481,534106.7730073886,65305.40410729547,346071.50696493266,300556.77844685735,607673.50306689,418430.4659740357,489039.711236911,126498.62590539722,376929.8929945045,207481.39350994668,587270.5179279664,128705.40270791488,64388.6884020493,196882.11728794017,47002.24383282101,
2022-03-11,174204.1588571672,115902.74935215592,433100.0699454697,435520.21940767806,68976.5564300931,36666.998859772226,114813.57184047635,120911.68942899187,261079.85531864394,384210.9136507869,549708.7801388789,97444.90660408132,431319.76587378804,86102.74570871529,106488.91850924758,358924.22327567544,562934.2182403922,168620.49501749824,82923.09353219224,535657.952464072,345558.633997329,26788.963129808628,450148.7262674187,435104.0596840772,411874.1240753717,514039.68983668933,163156.5158380459,105848.93320017828,465001.97545798204,487971.47526679945,548564.5743604228,79387.75778729291,361470.2236460492,333303.165806746,599488.7192868461,344514.973758824,458614.2825161166,113091.12116146465,361832.1128502669,199866.91922677547,648779.6510038598,135913.70395479567,66353.70338256228,262770.60596060945,32941.127196019836,
2022-03-12,166480.96566602643,108636.43269395731,468749.35293453484,429105.42753878655,82724.7585859788,46345.56888598502,113004.54995239434,141197.5255064457,245632.64919995272,289818.37561982364,572680.5393094706,79524.50493509026,371854.661075005,82229.57760390016,127212.55027453188,324028.9746993194,564092.0789954674,157318.55983679794,91017.65492507734,522623.73272841965,265437.7118619432,32475.307989364283,466361.2384784175,532376.0597375986,475174.4247722839,535741.1459643596,148046.93403559606,120089.94363563455,476783.778529713,544804.7789036081,533064.5642222086,81014.19962949515,395385.42442572466,292173.73350210424,587343.1547197811,365989.06763106183,524398.5180121474,122396.24704831083,358393.7960853705,174726.38360774913,613855.0993792233,127470.18017507576,70962.3927450892,182336.35968230112,54524.22375035513,
2022-03-13,172205.41116637556,110807.87307142597,522324.48900990107,459417.05206588167,91207.62243193616,46499.746926066924,126027.84506497381,120070.98088494381,273685.0480639206,294209.75919070444,531663.2586336657,85092.67171196267,400843.0697232665,71772.30401976427,100468.95880268334,377852.96452554717,568223.9143076836,189139.28026878738,88525.33354813312,576031.3518509964,281234.9402496637,32664.389932810947,520483.5159036763,556493.2109421171,427696.87132365606,552573.6344504505,157211.3720405142,94836.39768997299,448058.01496581914,561658.0084032235,513323.53537698137,78693.8745237801,394725.45570947276,303751.68339488166,609641.7877793476,382053.70487484545,521010.6970118403,112808.46629676483,391922.5043032106,191991.16006742124,556379.4277776191,125437.11643647734,65208.561809209,251873.42039367123,48160.62672924619,
2022-03-14,169090.36177571668,99687.16521162789,517045.1803454383,443994.8179696326,79420.35266394175,45291.33892218736,106466.4190936366,145857.33055123317,257153.2271424229,373050.13942585065,648221.1060527818,103087.08225479905,393850.41088118724,82061.51188684341,127118.5593705958,321131.1028797076,525880.747694525,163956.24506614596,83358.62096542714,590787.1752615146,287437.4854367097,32356.043056665312,469410.3991233816,462583.695530382,469225.4607739127,540752.7885908855,170021.40760236053,104974.67833488285,436868.1121850513,629886.8212559498,586154.6885008472,74703.65857445418,442252.78630779247,311073.12934150296,600134.0923688655,439475.6292028339,487315.2163165893,118320.67916190924,411588.15069080214,195858.33400152405,593659.3491069124,123900.28013885021,67646.16562292636,234130.0523069044,43120.52142595789,
2022-03-15,177694.89195641334,109872.83163606752,501336.15174578136,455183.33985842,76228.45239601508,41683.49076392714,125161.84968043304,145383.86778395073,251933.9204449456,352417.37112872105,481094.85720476427,90015.69225748126,402669.8791705847,82050.67766198552,114626.07208938808,389019.8400191448,634059.2986659203,180696.669973613,83177.41344880563,567925.5178961182,311717.6594080609,26173.87373193876,475240.4216147625,490814.4300288735,440713.04750966525,453420.7489968568,161433.4794655984,96687.37232591794,493154.47559914156,552438.9571404137,580146.5117998876,79476.54533652717,362112.037025458,353292.5498120635,592105.4711210787,366275.01896923286,478591.33688204427,142496.16198965014,368519.96220532205,189114.30081924735,666575.3140695504,135115.89590320725,63628.67334559889,190245.7707850635,51817.22209545391,
2022-03-16,172890.97013468487,109620.02066785429,434277.73996948375,408286.98699783336,77452.61484280993,45263.24926409272,122373.66907078015,157602.56332797155,282499.5234378021,357747.7053834988,605586.7213499388,98111.98132187125,371776.8995758736,83258.80714674575,104065.17117268473,437394.4132704014,552240.289304029,167206.24425388876,92273.89990720944,481484.04034168116,304138.2683727184,30706.761001096173,491999.47763947776,422534.90309099667,414368.24864150124,519172.3843821337,142032.7262827822,98775.20228920935,481406.60806807416,446209.8403368257,648964.7856597201,77079.75371751364,410263.35951603693,321348.0744029401,559098.4294716022,358895.3388229214,484802.6801679435,122485.56163078661,402591.0225170525,220537.7087695413,680130.8783647136,137635.63187118573,71509.51787628085,242654.28422548634,43552.00423107473,
2022-03-17,164557.60878164947,114087.37405305344,396945.50347728736,463115.99181405536,82198.67253249748,40888.85353358055,119946.15399588282,159255.92456812086,201057.35484279622,313505.19509424234,610294.2268827972,93677.29980042788,390973.56505645264,80458.7885503847,109464.53641608395,366448.7328594704,461305.60870388773,174608.97326617764,97467.568729204,529092.4196698264,348373.21631036454,31542.95910741657,405019.6761884722,439841.85275605123,441750.23375956534,537494.2562278366,143283.1671430876,102885.6539471027,480469.8450063617,544538.8732657119,537200.3722743936,71306.42584730095,418145.62048606545,319090.8609098304,669173.0385401059,362389.0351458897,485083.28322347184,110006.99995000892,380433.26939442474,204734.5225519269,669064.364620251,117962.87296127215,72946.35864431084,255862.77487619995,45178.53646968084,
2022-03-18,167244.24621198868,107030.95885000975,491539.53418825485,488388.3266274532,67495.78096887296,41512.19706507482,136800.37790598779,147797.06462397065,222273.65897691692,350068.8842913827,512594.2945341231,91162.6064018096,343443.9907565046,81270.75050808469,105364.98001705778,372619.3294141341,498605.0249428911,167439.74538406063,89340.59673317669,539013.7804507408,337224.8801686836,27364.099672646324,475462.8808250458,532297.9064926606,436148.20125855546,522637.6123930258,142435.95820437706,114429.23906610474,473788.976722839,668909.6135434909,581947.600955151,87296.31659118735,404133.98808192404,382700.72640385566,539796.8478946895,429404.17330651975,486116.97323202994,123308.6343633323,351863.114313984,218825.3517642368,635887.7864221956,117929.18064363311,72814.58701401767,241112.62640059364,42906.230348311714,
2022-03-19,164947.9415380842,116232.25108478665,466685.855416361,398546.9255922425,79372.91070346699,37276.04668295852,115336.07787173071,139616.06047272967,225071.324169009,406934.5565945366,648200.9403828341,101965.34600625398,398044.2184632877,83989.25460118816,122185.77676585516,341974.7429054385,466595.4598014702,181715.46079254732,90783.95004755251,445322.9709514703,325718.44096838316,29676.609157428906,433547.0238070704,467755.77661280776,457213.95674130425,520008.32250637515,166424.79363065952,118178.18099389155,461311.8577976225,586691.7187482655,578321.2780248645,73900.569482261,353156.22393587144,340280.2742782865,609480.631355259,293802.44670819724,481826.7868414043,108409.57932338849,371105.86054381094,201320.96936197495,538203.6011308479,127659.74252452415,70613.59555296658,245253.79899817696,50381.23058628054,
